"Step","lmbda0_lr5e5_steps20k - train/loss","lmbda0_lr5e5_steps20k - train/loss__MIN","lmbda0_lr5e5_steps20k - train/loss__MAX","lmbda1_lr1e4 - train/loss","lmbda1_lr1e4 - train/loss__MIN","lmbda1_lr1e4 - train/loss__MAX","lmbda1_lr5e5 - train/loss","lmbda1_lr5e5 - train/loss__MIN","lmbda1_lr5e5 - train/loss__MAX","lmbda0_beta1 - train/loss","lmbda0_beta1 - train/loss__MIN","lmbda0_beta1 - train/loss__MAX","lmbda0_lr1e4 - train/loss","lmbda0_lr1e4 - train/loss__MIN","lmbda0_lr1e4 - train/loss__MAX","lmbda1_tok512 - train/loss","lmbda1_tok512 - train/loss__MIN","lmbda1_tok512 - train/loss__MAX","lmbda1_bs16 - train/loss","lmbda1_bs16 - train/loss__MIN","lmbda1_bs16 - train/loss__MAX","lmbda1_tok256 - train/loss","lmbda1_tok256 - train/loss__MIN","lmbda1_tok256 - train/loss__MAX","lmbda1_beta05 - train/loss","lmbda1_beta05 - train/loss__MIN","lmbda1_beta05 - train/loss__MAX","lmbda0_beta05 - train/loss","lmbda0_beta05 - train/loss__MIN","lmbda0_beta05 - train/loss__MAX"
"3587","0.0868","0.0868","0.0868","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3588","0.0758","0.0758","0.0758","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3589","0.0799","0.0799","0.0799","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3591","0.0695","0.0695","0.0695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3594","0.0666","0.0666","0.0666","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3595","0.0859","0.0859","0.0859","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3597","0.081","0.081","0.081","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3599","0.0827","0.0827","0.0827","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3600","0.0687","0.0687","0.0687","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3601","0.0914","0.0914","0.0914","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3602","0.0785","0.0785","0.0785","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3603","0.0712","0.0712","0.0712","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3604","0.0656","0.0656","0.0656","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3605","0.0655","0.0655","0.0655","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3608","0.0779","0.0779","0.0779","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3609","0.0846","0.0846","0.0846","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3610","0.0738","0.0738","0.0738","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3613","0.0843","0.0843","0.0843","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3615","0.0772","0.0772","0.0772","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3618","0.0798","0.0798","0.0798","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3619","0.0766","0.0766","0.0766","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3623","0.076","0.076","0.076","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3624","0.0673","0.0673","0.0673","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3628","0.0956","0.0956","0.0956","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3629","0.0822","0.0822","0.0822","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3631","0.0783","0.0783","0.0783","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3633","0.0721","0.0721","0.0721","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3634","0.0912","0.0912","0.0912","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3635","0.0704","0.0704","0.0704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3636","0.0899","0.0899","0.0899","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3640","0.096","0.096","0.096","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3642","0.0776","0.0776","0.0776","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3643","0.0606","0.0606","0.0606","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3644","0.0774","0.0774","0.0774","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3646","0.0766","0.0766","0.0766","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3648","0.0897","0.0897","0.0897","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3649","0.0744","0.0744","0.0744","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3651","0.0662","0.0662","0.0662","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3652","0.0899","0.0899","0.0899","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3653","0.0734","0.0734","0.0734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3654","0.0824","0.0824","0.0824","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3655","0.0811","0.0811","0.0811","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3656","0.0704","0.0704","0.0704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3658","0.073","0.073","0.073","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3660","0.0823","0.0823","0.0823","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3663","0.0791","0.0791","0.0791","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3667","0.0846","0.0846","0.0846","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3673","0.0736","0.0736","0.0736","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3674","0.0777","0.0777","0.0777","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3675","0.0835","0.0835","0.0835","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3676","0.0805","0.0805","0.0805","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3677","0.0697","0.0697","0.0697","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3678","0.0604","0.0604","0.0604","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3679","0.0716","0.0716","0.0716","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3680","0.0661","0.0661","0.0661","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3682","0.0846","0.0846","0.0846","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3683","0.0675","0.0675","0.0675","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3686","0.0674","0.0674","0.0674","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3689","0.0887","0.0887","0.0887","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3692","0.0701","0.0701","0.0701","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3697","0.0673","0.0673","0.0673","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3699","0.0836","0.0836","0.0836","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3701","0.0814","0.0814","0.0814","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3704","0.0691","0.0691","0.0691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3706","0.0855","0.0855","0.0855","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3709","0.0656","0.0656","0.0656","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3713","0.0789","0.0789","0.0789","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3714","0.0669","0.0669","0.0669","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3719","0.0854","0.0854","0.0854","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3720","0.0817","0.0817","0.0817","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3723","0.0756","0.0756","0.0756","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3726","0.0813","0.0813","0.0813","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3727","0.0767","0.0767","0.0767","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3729","0.0801","0.0801","0.0801","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3730","0.0828","0.0828","0.0828","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3732","0.0845","0.0845","0.0845","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3733","0.0759","0.0759","0.0759","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3734","0.0906","0.0906","0.0906","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3735","0.0689","0.0689","0.0689","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3737","0.073","0.073","0.073","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3740","0.0784","0.0784","0.0784","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3741","0.0626","0.0626","0.0626","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3742","0.0744","0.0744","0.0744","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3744","0.0682","0.0682","0.0682","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3745","0.0705","0.0705","0.0705","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3746","0.0947","0.0947","0.0947","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3748","0.0791","0.0791","0.0791","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3749","0.0768","0.0768","0.0768","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3750","0.0777","0.0777","0.0777","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3753","0.0765","0.0765","0.0765","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3754","0.0704","0.0704","0.0704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3756","0.0915","0.0915","0.0915","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3757","0.0876","0.0876","0.0876","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3758","0.0646","0.0646","0.0646","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3760","0.0703","0.0703","0.0703","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3761","0.0898","0.0898","0.0898","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3764","0.0811","0.0811","0.0811","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3765","0.0819","0.0819","0.0819","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3766","0.0689","0.0689","0.0689","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3767","0.0639","0.0639","0.0639","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3768","0.0853","0.0853","0.0853","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3769","0.0726","0.0726","0.0726","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3770","0.079","0.079","0.079","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3771","0.0785","0.0785","0.0785","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773","0.0791","0.0791","0.0791","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3774","0.0757","0.0757","0.0757","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3776","0.0842","0.0842","0.0842","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3783","0.0672","0.0672","0.0672","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3787","0.0737","0.0737","0.0737","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3789","0.0687","0.0687","0.0687","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3790","0.0892","0.0892","0.0892","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3791","0.0796","0.0796","0.0796","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3794","0.0695","0.0695","0.0695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3798","0.0873","0.0873","0.0873","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3800","0.0866","0.0866","0.0866","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3803","0.0778","0.0778","0.0778","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3811","0.0837","0.0837","0.0837","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3812","0.0841","0.0841","0.0841","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3814","0.0605","0.0605","0.0605","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3815","0.0775","0.0775","0.0775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3817","0.0762","0.0762","0.0762","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3818","0.075","0.075","0.075","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3821","0.0781","0.0781","0.0781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3823","0.0675","0.0675","0.0675","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3824","0.0836","0.0836","0.0836","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3825","0.069","0.069","0.069","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3826","0.0812","0.0812","0.0812","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3829","0.0724","0.0724","0.0724","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3830","0.0676","0.0676","0.0676","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3832","0.0775","0.0775","0.0775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3833","0.0775","0.0775","0.0775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3835","0.0711","0.0711","0.0711","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3836","0.0787","0.0787","0.0787","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3838","0.0849","0.0849","0.0849","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3840","0.085","0.085","0.085","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3849","0.0652","0.0652","0.0652","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3850","0.0711","0.0711","0.0711","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3853","0.0773","0.0773","0.0773","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3855","0.0726","0.0726","0.0726","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3857","0.084","0.084","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3860","0.0619","0.0619","0.0619","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3861","0.0644","0.0644","0.0644","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3862","0.0728","0.0728","0.0728","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3863","0.0781","0.0781","0.0781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3868","0.0725","0.0725","0.0725","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3870","0.0747","0.0747","0.0747","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3871","0.0926","0.0926","0.0926","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3876","0.0784","0.0784","0.0784","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3877","0.0669","0.0669","0.0669","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3878","0.075","0.075","0.075","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3879","0.0809","0.0809","0.0809","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3881","0.071","0.071","0.071","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3883","0.0761","0.0761","0.0761","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3885","0.083","0.083","0.083","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3887","0.0721","0.0721","0.0721","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3889","0.0774","0.0774","0.0774","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3892","0.0836","0.0836","0.0836","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3893","0.0631","0.0631","0.0631","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3894","0.0757","0.0757","0.0757","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3895","0.0847","0.0847","0.0847","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3897","0.0748","0.0748","0.0748","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3899","0.0669","0.0669","0.0669","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3901","0.0634","0.0634","0.0634","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3904","0.0706","0.0706","0.0706","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3907","0.0838","0.0838","0.0838","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3908","0.0653","0.0653","0.0653","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3910","0.0753","0.0753","0.0753","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3912","0.0772","0.0772","0.0772","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3914","0.0692","0.0692","0.0692","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3917","0.0725","0.0725","0.0725","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3919","0.0867","0.0867","0.0867","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3920","0.0743","0.0743","0.0743","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3921","0.0828","0.0828","0.0828","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3923","0.0845","0.0845","0.0845","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3925","0.0672","0.0672","0.0672","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3927","0.0746","0.0746","0.0746","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3929","0.0758","0.0758","0.0758","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3930","0.0781","0.0781","0.0781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3931","0.072","0.072","0.072","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3932","0.0801","0.0801","0.0801","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3933","0.0773","0.0773","0.0773","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3934","0.0833","0.0833","0.0833","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3937","0.0788","0.0788","0.0788","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3938","0.0685","0.0685","0.0685","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3941","0.0715","0.0715","0.0715","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3942","0.0769","0.0769","0.0769","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3943","0.0918","0.0918","0.0918","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3944","0.0747","0.0747","0.0747","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3946","0.0658","0.0658","0.0658","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3950","0.0661","0.0661","0.0661","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3951","0.0786","0.0786","0.0786","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3953","0.069","0.069","0.069","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3955","0.0669","0.0669","0.0669","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3956","0.078","0.078","0.078","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3958","0.0784","0.0784","0.0784","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3959","0.087","0.087","0.087","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3960","0.0749","0.0749","0.0749","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3961","0.0834","0.0834","0.0834","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3962","0.0731","0.0731","0.0731","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3966","0.0746","0.0746","0.0746","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3968","0.0726","0.0726","0.0726","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3970","0.0781","0.0781","0.0781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3972","0.0679","0.0679","0.0679","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3974","0.0739","0.0739","0.0739","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3975","0.0779","0.0779","0.0779","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3976","0.0817","0.0817","0.0817","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3978","0.0602","0.0602","0.0602","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3979","0.0773","0.0773","0.0773","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3981","0.0757","0.0757","0.0757","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3982","0.0894","0.0894","0.0894","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3989","0.0852","0.0852","0.0852","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3990","0.0789","0.0789","0.0789","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3991","0.0833","0.0833","0.0833","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3993","0.0771","0.0771","0.0771","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3997","0.0753","0.0753","0.0753","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3998","0.0757","0.0757","0.0757","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4000","0.0825","0.0825","0.0825","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001","0.0784","0.0784","0.0784","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4002","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4006","0.0793","0.0793","0.0793","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4008","0.088","0.088","0.088","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4009","0.0662","0.0662","0.0662","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4012","0.0796","0.0796","0.0796","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4014","0.0691","0.0691","0.0691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4016","0.0573","0.0573","0.0573","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4017","0.0734","0.0734","0.0734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4021","0.0658","0.0658","0.0658","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4024","0.0761","0.0761","0.0761","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4025","0.0792","0.0792","0.0792","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4027","0.0641","0.0641","0.0641","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","0.0825","0.0825","0.0825","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4032","0.0789","0.0789","0.0789","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4039","0.086","0.086","0.086","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4040","0.0689","0.0689","0.0689","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4043","0.0729","0.0729","0.0729","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4053","0.0718","0.0718","0.0718","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4054","0.0764","0.0764","0.0764","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4055","0.0852","0.0852","0.0852","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4059","0.078","0.078","0.078","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4060","0.0637","0.0637","0.0637","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4064","0.076","0.076","0.076","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4066","0.074","0.074","0.074","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4072","0.0815","0.0815","0.0815","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4074","0.0824","0.0824","0.0824","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4081","0.0732","0.0732","0.0732","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4085","0.0773","0.0773","0.0773","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","0.0798","0.0798","0.0798","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4089","0.0707","0.0707","0.0707","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4090","0.0818","0.0818","0.0818","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4091","0.0723","0.0723","0.0723","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4092","0.0691","0.0691","0.0691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4096","0.0644","0.0644","0.0644","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4097","0.0869","0.0869","0.0869","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4099","0.0829","0.0829","0.0829","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4100","0.0791","0.0791","0.0791","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4101","0.0598","0.0598","0.0598","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4102","0.0712","0.0712","0.0712","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4103","0.0764","0.0764","0.0764","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4104","0.0849","0.0849","0.0849","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4105","0.0704","0.0704","0.0704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4106","0.0813","0.0813","0.0813","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4108","0.0832","0.0832","0.0832","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4111","0.0752","0.0752","0.0752","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4112","0.0984","0.0984","0.0984","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4113","0.0754","0.0754","0.0754","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4114","0.0728","0.0728","0.0728","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4115","0.0787","0.0787","0.0787","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4116","0.0839","0.0839","0.0839","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4117","0.079","0.079","0.079","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4119","0.0811","0.0811","0.0811","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4126","0.0711","0.0711","0.0711","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4130","0.0649","0.0649","0.0649","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4131","0.0941","0.0941","0.0941","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4134","0.0849","0.0849","0.0849","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4140","0.0751","0.0751","0.0751","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4141","0.1021","0.1021","0.1021","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4142","0.0739","0.0739","0.0739","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4143","0.0718","0.0718","0.0718","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4144","0.0657","0.0657","0.0657","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4145","0.0682","0.0682","0.0682","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4147","0.0974","0.0974","0.0974","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4148","0.0713","0.0713","0.0713","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4149","0.0792","0.0792","0.0792","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4150","0.075","0.075","0.075","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4151","0.0765","0.0765","0.0765","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4152","0.0653","0.0653","0.0653","","","","","","","","","","","","","","","","","","","","","","","","","","",""
